Frequency (Hz),Red_X,Red_Y,Blue_X,Green_X,Orange_X,Orange_Y,Yellow_X,Yellow_Y,Pink_X,Pink_Y,Purple_X,Red2_X,Red2_Y,Blue2_X,Blue2_Y,Green2_X,Green2_Y,Orange2_X,Yellow2_X,Yellow2_Y,Pink2_X
53.8636,0.0033,0.0035,0.8343,0.1537,0.0385,0.004,0.0093,0.0926,0.0302,0.0669,1.4286,0.1972,0.034,0.0281,39.7937,0.0305,0.0956,0.0892,0.007,0.0209,33.8777
53.9636,0.0044,0.0056,0.9158,0.1859,0.0362,0.0032,0.0116,0.0871,0.0429,0.0533,1.6617,0.1869,0.0329,0.021,34.4662,0.0333,0.0973,0.0959,0.0115,0.0264,36.0187
54.0635,0.0053,0.0076,0.9952,0.0806,0.0318,0.0025,0.018,0.1122,0.045,0.0518,1.3102,0.1755,0.0311,0.0247,23.7607,0.0354,0.0979,0.1047,0.0136,0.0272,37.7909
54.1634,0.006,0.0091,1.0666,0.1948,0.0268,0.002,0.0271,0.1475,0.0358,0.0643,0.7753,0.1694,0.0301,0.0341,12.1527,0.0366,0.0977,0.1157,0.0124,0.0227,38.8895
54.2634,0.0064,0.0099,1.1253,0.1073,0.0233,0.0018,0.0362,0.1765,0.0187,0.0759,0.3317,0.1703,0.0303,0.0395,14.4269,0.037,0.0973,0.1281,0.0084,0.015,39.1695
54.3633,0.0063,0.0099,1.1676,0.2228,0.0236,0.0018,0.0434,0.1908,0.0122,0.0773,0.525,0.174,0.0313,0.0376,25.4054,0.0371,0.0975,0.1408,0.0046,0.0112,38.7035
54.4632,0.0059,0.0092,1.1906,0.1689,0.0273,0.0018,0.0474,0.1866,0.0295,0.0676,0.7975,0.1741,0.0319,0.0289,32.7616,0.0374,0.0993,0.153,0.0074,0.0167,37.7553
54.5632,0.0052,0.0077,1.1929,0.1365,0.032,0.0017,0.0476,0.1637,0.0424,0.0547,0.5866,0.1672,0.0312,0.0194,33.6616,0.0383,0.1026,0.1646,0.0114,0.0225,36.6719
54.6631,0.0043,0.0057,1.1742,0.1583,0.0357,0.0015,0.044,0.125,0.0449,0.0535,0.7015,0.1541,0.029,0.0221,27.9042,0.0399,0.1069,0.1759,0.0128,0.0237,35.7227
54.763,0.0036,0.0034,1.1359,0.0393,0.0373,0.0014,0.037,0.0786,0.0362,0.0669,1.2328,0.14,0.0262,0.033,17.2295,0.0419,0.111,0.187,0.0107,0.0195,34.973
54.863,0.0034,0.0011,1.0811,0.1093,0.0362,0.0016,0.0288,0.0493,0.0197,0.0802,1.5502,0.1316,0.0238,0.0402,7.0877,0.0436,0.1138,0.1975,0.0061,0.0111,34.2825
54.9629,0.004,0.0019,1.0145,0.0132,0.0328,0.0021,0.0251,0.0752,0.0125,0.0838,1.3071,0.1317,0.023,0.0396,12.8843,0.0444,0.1146,0.2067,0.0025,0.0038,33.4353
55.0628,0.0049,0.004,0.9429,0.0525,0.028,0.0027,0.0311,0.1174,0.0291,0.0765,0.7713,0.1363,0.0236,0.0313,21.0704,0.0438,0.1133,0.2139,0.0068,0.0102,32.2978
55.1628,0.0058,0.0056,0.8745,0.047,0.0236,0.0032,0.0423,0.15,0.0421,0.0652,0.0833,0.1391,0.0245,0.0201,23.7274,0.042,0.1108,0.2189,0.01,0.0157,30.9017
55.2627,0.0065,0.0066,0.8188,0.1451,0.0224,0.0036,0.0523,0.1654,0.045,0.0629,0.7655,0.1361,0.0246,0.0204,19.9402,0.0393,0.1082,0.2219,0.0103,0.0164,29.4121
55.3626,0.0068,0.0069,0.7842,0.1534,0.0253,0.004,0.0573,0.1613,0.0368,0.0738,1.1465,0.1281,0.0236,0.0323,12.2324,0.0366,0.1071,0.2236,0.0074,0.0122,28.0024
55.4626,0.0067,0.0066,0.7752,0.1907,0.0304,0.0043,0.0553,0.1384,0.0203,0.0862,1.1152,0.1194,0.0221,0.0418,12.6551,0.0348,0.1079,0.2243,0.0027,0.0046,26.7156
55.5625,0.0062,0.0056,0.7905,0.18,0.0353,0.0046,0.0457,0.1005,0.011,0.0898,0.7769,0.1154,0.021,0.0436,23.7168,0.0343,0.1102,0.2241,0.0038,0.0039,25.4161
55.6624,0.0052,0.0044,0.823,0.1415,0.0384,0.0052,0.0296,0.054,0.0273,0.0822,1.0199,0.1174,0.021,0.037,33.2005,0.0348,0.1123,0.2229,0.0081,0.0105,23.8799
55.7623,0.0041,0.0037,0.8631,0.1261,0.0389,0.0059,0.0123,0.023,0.0407,0.0683,1.1073,0.1214,0.0217,0.0258,36.3779,0.0355,0.1127,0.2203,0.0099,0.0134,21.9614
55.8623,0.0029,0.0043,0.9014,0.1923,0.0367,0.0068,0.0199,0.0581,0.0441,0.0608,1.0574,0.1222,0.0222,0.021,31.464,0.0356,0.1103,0.2166,0.0087,0.0115,19.7343
55.9622,0.002,0.0058,0.9304,0.2125,0.0324,0.0077,0.0386,0.0974,0.0364,0.0678,0.6178,0.1167,0.0216,0.0302,19.3167,0.0346,0.1053,0.2123,0.005,0.0056,17.5542
56.0621,0.0022,0.0074,0.945,0.3026,0.0271,0.0084,0.0525,0.125,0.0202,0.0796,0.0749,0.1063,0.0197,0.0406,10.2824,0.0328,0.0993,0.208,0.0025,0.0027,15.9933
56.1621,0.0031,0.0086,0.9421,0.267,0.0233,0.0089,0.0578,0.1378,0.009,0.0843,0.9146,0.0957,0.0169,0.0444,25.9089,0.0311,0.095,0.2039,0.0065,0.0103,15.5486
56.262,0.004,0.0092,0.9208,0.1933,0.0235,0.0092,0.0533,0.1355,0.0255,0.0779,1.4878,0.0909,0.0143,0.0398,43.9977,0.0306,0.0956,0.1998,0.0097,0.0151,16.2377
56.3619,0.0046,0.009,0.8819,0.1892,0.0277,0.0091,0.04,0.12,0.0391,0.0646,1.3885,0.0935,0.0131,0.0288,56.1178,0.0324,0.102,0.1953,0.0101,0.0156,17.6102
56.4619,0.0048,0.0079,0.8279,0.043,0.0332,0.0087,0.0223,0.095,0.0429,0.0579,1.1061,0.0987,0.0134,0.0188,58.9873,0.0359,0.1122,0.1901,0.0077,0.0115,19.1776
56.5618,0.0046,0.006,0.7625,0.0807,0.0379,0.0081,0.0194,0.0666,0.0357,0.0677,0.6897,0.1003,0.0139,0.023,51.8189,0.04,0.1227,0.1842,0.0038,0.0049,20.6766
56.6617,0.0041,0.0035,0.6906,0.0507,0.0404,0.0076,0.0376,0.0446,0.0197,0.0838,0.6462,0.0956,0.0133,0.0334,37.0137,0.0433,0.1303,0.178,0.0043,0.007,22.0507
56.7617,0.0031,0.0008,0.6179,0.1675,0.0402,0.0073,0.0545,0.0443,0.0056,0.0933,0.6818,0.0862,0.0111,0.0391,23.8056,0.0451,0.133,0.1717,0.0083,0.0142,23.325
56.8616,0.002,0.0031,0.5501,0.0808,0.0374,0.0074,0.0634,0.06,0.0224,0.0915,0.6185,0.078,0.0077,0.0369,30.6876,0.045,0.1299,0.1654,0.0105,0.0184,24.4966
56.9615,0.0009,0.0064,0.4923,0.0694,0.0326,0.0079,0.0619,0.0753,0.0354,0.0814,0.2583,0.0781,0.0044,0.028,47.4263,0.0432,0.1219,0.1585,0.01,0.0183,25.4969
57.0615,0.0009,0.0094,0.4469,0.0568,0.0273,0.0086,0.0504,0.0841,0.0386,0.0726,0.9606,0.087,0.0052,0.0184,59.1154,0.0407,0.1113,0.1508,0.0073,0.0149,26.2276
57.1614,0.0019,0.0119,0.4128,0.256,0.0238,0.0094,0.0317,0.0851,0.0308,0.0757,1.4778,0.098,0.0084,0.0204,60.868,0.0385,0.1018,0.1422,0.0053,0.0132,26.6246
57.2613,0.0028,0.0136,0.3847,0.2037,0.0246,0.0099,0.0159,0.0791,0.0143,0.0876,1.5466,0.1048,0.0108,0.0302,51.9737,0.0379,0.0978,0.1329,0.0078,0.0182,26.7006
57.3613,0.0033,0.0143,0.3557,0.233,0.0288,0.0102,0.0271,0.0697,0.0086,0.0969,1.1717,0.105,0.0117,0.0366,35.3264,0.0393,0.1013,0.1236,0.0112,0.0254,26.5401
57.4612,0.0035,0.014,0.3186,0.2897,0.034,0.0102,0.045,0.063,0.0276,0.0965,0.6819,0.1001,0.011,0.0361,21.1573,0.0419,0.1101,0.1148,0.0127,0.0304,26.2539
57.5611,0.0032,0.0128,0.2685,0.1163,0.038,0.0098,0.0561,0.0662,0.0406,0.0857,0.1978,0.0951,0.0101,0.0291,29.4281,0.0447,0.1202,0.1065,0.0118,0.0312,25.9194
57.6611,0.0026,0.0106,0.2035,0.2513,0.0398,0.0093,0.0575,0.0793,0.0432,0.0692,0.7442,0.0957,0.0107,0.0206,45.7458,0.0465,0.1281,0.0985,0.0088,0.028,25.5464
57.761,0.0016,0.0077,0.1306,0.1388,0.0389,0.0087,0.0492,0.0952,0.035,0.0562,0.8767,0.103,0.0135,0.0204,55.5826,0.0471,0.132,0.0908,0.0056,0.0223,25.0868
57.8609,0.0005,0.0047,0.0993,0.2486,0.0356,0.0082,0.0337,0.1072,0.0203,0.0536,0.6717,0.1125,0.017,0.0286,55.0702,0.0466,0.132,0.0833,0.005,0.0169,24.4745
