Frequency (Hz),Red_X,Red_Y,Blue_X,Blue_Y,Green_X,Green_Y,Orange_X,Orange_Y,Yellow_X,Yellow_Y,Pink_X,Pink_Y
28.9338,1.9067,807.9704,1140.945,1018.218,2.0289,306.6837,10.2322,1338.819,8.5163,1002.291,1.9205,382.6236
29.3721,1.0399,463.5598,1129.871,1034.273,3.7001,77.5203,5.1238,2088.483,8.9891,833.8134,2.4735,222.1551
29.8105,1.5485,1833.734,1077.265,1257.412,3.5048,615.9081,11.2068,407.2672,8.0928,569.6909,3.7648,679.9263
30.2489,1.112,1754.36,825.5571,1452.835,0.7769,499.511,9.1783,1123.392,10.2124,1034.437,4.7469,549.0894
30.6873,0.5357,375.5804,553.3442,1717.527,2.2511,552.0551,7.8641,1164.037,10.1288,327.3719,5.6046,232.2127
31.1257,0.5517,488.3492,514.5428,1544.75,3.0971,1292.297,7.2505,1340.181,10.1692,496.3262,5.3748,224.604
31.5641,0.8726,785.4344,524.9503,1091.734,5.6126,1323.51,8.7955,1450.333,11.2683,1122.439,4.6125,852.3254
32.0025,0.7259,433.7098,403.3324,1118.141,5.234,1743.532,11.0397,951.8008,9.6891,417.4691,3.0044,603.3483
32.4409,0.5056,386.2583,388.5104,1786.147,3.8029,1185.253,2.5605,2640.398,13.2269,598.4754,1.6723,77.0771
32.8793,0.8648,557.4905,351.0054,2217.054,1.6199,952.0952,12.9027,1203.484,11.9997,1030.728,1.661,323.7531
33.3177,0.7203,632.29,205.2528,1860.398,2.6399,147.3651,9.493,1942.799,8.8372,352.4123,1.2276,303.2787
33.756,0.5471,525.0665,263.2869,1700.338,4.106,1098.287,6.1509,2028.127,9.643,1106.293,2.612,728.7206
34.1944,0.1377,535.3804,335.0766,1884.262,3.663,1450.517,9.7094,923.7714,7.8384,1250.725,5.1032,470.8038
34.6328,0.3611,312.8678,522.8863,1880.432,3.3175,1646.779,5.3719,2400.031,4.0566,197.1988,5.3461,912.5033
35.0712,1.1894,602.8531,702.5203,1831.841,2.8392,1392.825,12.2008,333.521,5.8649,1159.283,4.4001,409.2711
35.5096,1.2427,391.5639,675.9787,1572.181,6.1743,2078.969,7.5805,1820.858,7.4317,1262.404,5.0077,120.3869
35.948,2.0233,531.3447,806.1838,1437.654,9.7008,2478.199,8.0121,1171.165,6.0773,182.8613,5.1079,320.5775
36.3864,1.9772,513.8492,766.788,1564.575,8.1122,2137.037,9.5073,569.4082,8.4587,1331.515,4.7068,280.0293
36.8248,1.6291,767.0833,680.9519,1291.027,3.0255,1273.602,5.2911,2339.177,9.7985,1266.021,3.5672,174.7947
37.2632,1.3263,754.2554,873.0731,894.5934,2.8265,848.5753,11.3408,425.1094,7.6249,313.4252,5.3015,20.306
37.7016,0.9246,464.0093,1048.744,1138.709,2.8457,689.6474,5.5247,1793.105,11.265,1020.71,5.8301,1114.618
38.1399,0.9237,710.9914,1033.047,1657.405,3.2,928.0916,9.3145,352.795,10.5391,514.2383,,
38.5783,1.1518,855.9457,882.8348,1765.113,5.499,1260.063,6.9574,1611.914,,,,
39.0167,1.1917,886.3601,843.54,1593.288,3.4856,854.8777,8.0272,1320.226,,,,
39.4551,1.3383,1040.146,1026.486,1282.821,2.6442,1457.295,9.2121,1302.879,,,,
39.8935,0.8517,509.0193,1068.019,988.5923,,,7.2789,2238.498,,,,
40.3319,0.3789,105.684,997.1666,973.0645,,,,,,,,
40.7703,0.532,261.34,873.7007,968.5009,,,,,,,,
41.2087,0.9796,440.3122,667.1349,957.5784,,,,,,,,
41.6471,0.9485,357.5511,505.6941,697.3015,,,,,,,,
42.0855,0.8465,319.3075,313.5291,818.1019,,,,,,,,
42.5238,0.4308,317.7556,140.4374,1512.324,,,,,,,,
42.9622,0.6357,65.5795,121.235,1054.196,,,,,,,,
43.4006,0.4797,359.9767,324.4159,1495.725,,,,,,,,
43.839,0.4588,280.3867,503.0768,1887.156,,,,,,,,
44.2774,0.4603,80.6908,541.0952,1710.784,,,,,,,,
44.7158,0.6758,582.9597,355.1037,1224.189,,,,,,,,
45.1542,0.8752,658.3421,370.3264,1124.771,,,,,,,,
45.5926,0.8801,274.4786,462.9258,1230.52,,,,,,,,
46.031,0.6604,205.1148,644.7462,1687.478,,,,,,,,
46.4694,0.8497,170.3527,690.076,1864.459,,,,,,,,
46.9077,0.6851,325.5374,484.262,1403.648,,,,,,,,
47.3461,0.2754,365.3568,570.7374,680.3177,,,,,,,,
47.7845,0.1178,171.4572,692.9974,699.215,,,,,,,,
48.2229,0.0092,274.3918,658.2425,918.1716,,,,,,,,
48.6613,0.223,273.4079,660.9563,1076.832,,,,,,,,
49.0997,0.336,113.658,825.3848,1030.061,,,,,,,,
49.5381,0.6838,112.0069,992.2042,707.184,,,,,,,,
49.9765,0.6299,317.026,927.4977,467.5783,,,,,,,,
50.4149,0.5409,252.8475,971.4093,483.4575,,,,,,,,
50.8533,0.4757,63.0462,1094.189,325.4111,,,,,,,,
51.2916,0.316,161.8911,880.6581,351.609,,,,,,,,
51.73,0.3436,115.039,690.8943,687.2735,,,,,,,,
52.1684,0.4878,225.4301,545.8641,464.9683,,,,,,,,
52.6068,0.3208,32.6765,405.5728,613.8378,,,,,,,,
53.0452,0.3614,114.5436,493.9495,1318.935,,,,,,,,
53.4836,0.3611,149.861,648.2499,1553.793,,,,,,,,
53.922,0.425,256.7098,604.3101,1122.591,,,,,,,,
54.3604,0.0732,275.841,656.1716,1248.09,,,,,,,,
54.7988,0.467,162.8671,748.2604,1575.808,,,,,,,,
55.2372,0.8542,252.2489,660.1285,1696.862,,,,,,,,
55.6755,0.5232,257.4897,484.9475,1606.061,,,,,,,,
56.1139,0.1201,103.0553,313.4159,1041.994,,,,,,,,
56.5523,0.1975,136.8982,507.9825,587.5391,,,,,,,,
56.9907,0.2912,87.0423,498.2832,729.3527,,,,,,,,
57.4291,0.146,266.526,343.6059,651.5507,,,,,,,,
57.8675,0.5499,137.4306,402.8919,586.7336,,,,,,,,
58.3059,0.8471,29.8812,479.5474,696.4196,,,,,,,,
58.7443,0.8725,229.3118,304.4793,1215.806,,,,,,,,
59.1827,0.7936,445.5793,150.0172,1773.418,,,,,,,,
59.6211,1.3509,800.9534,490.9879,1978.515,,,,,,,,
,,,687.1424,1506.844,,,,,,,,
,,,530.0223,906.0572,,,,,,,,
,,,337.1338,915.1168,,,,,,,,
,,,377.8134,1018.013,,,,,,,,
,,,448.6644,1066.026,,,,,,,,
,,,454.3546,959.6298,,,,,,,,
,,,419.1374,639.6796,,,,,,,,
,,,529.2711,1060.793,,,,,,,,
,,,642.085,1077.068,,,,,,,,
,,,757.7479,1156.878,,,,,,,,
,,,1052.273,1715.624,,,,,,,,
,,,1164.206,2066.564,,,,,,,,
,,,1089.798,2095.576,,,,,,,,
,,,995.9958,1829.134,,,,,,,,
,,,862.729,1310.279,,,,,,,,
,,,864.4435,1293.886,,,,,,,,
,,,951.5668,1600.499,,,,,,,,
,,,926.3668,1788.269,,,,,,,,
,,,766.9424,1618.707,,,,,,,,
,,,662.3076,1120.6,,,,,,,,
,,,613.9377,1123.617,,,,,,,,
,,,383.451,1254.617,,,,,,,,
,,,179.4057,1129.839,,,,,,,,
,,,179.9092,1179.861,,,,,,,,
,,,377.432,1225.63,,,,,,,,
,,,145.3397,1324.909,,,,,,,,
,,,285.71,1362.407,,,,,,,,
,,,314.366,975.4153,,,,,,,,
,,,367.8425,670.6524,,,,,,,,
,,,431.5229,874.977,,,,,,,,
,,,343.5883,933.4202,,,,,,,,
,,,301.27,1202.826,,,,,,,,
,,,254.0599,1534.65,,,,,,,,
,,,222.4797,1330.41,,,,,,,,
,,,248.7736,901.8218,,,,,,,,
,,,461.2774,738.9752,,,,,,,,
,,,553.4395,690.0366,,,,,,,,
,,,564.427,973.6693,,,,,,,,
,,,426.047,1335.917,,,,,,,,
,,,254.1154,1246.469,,,,,,,,
,,,178.0437,839.4482,,,,,,,,
,,,557.9304,935.1539,,,,,,,,
,,,676.237,1500.256,,,,,,,,
,,,511.2783,1361.617,,,,,,,,
,,,444.7215,924.284,,,,,,,,
,,,355.2419,885.6318,,,,,,,,
,,,361.6422,744.2947,,,,,,,,
,,,587.949,845.2814,,,,,,,,
,,,606.7073,862.9966,,,,,,,,
,,,694.9527,898.9785,,,,,,,,
,,,798.8298,1099.379,,,,,,,,
,,,769.5281,1057.11,,,,,,,,
,,,702.101,1067.077,,,,,,,,
,,,565.7394,869.3964,,,,,,,,
,,,362.4288,721.7722,,,,,,,,
,,,465.8795,1296.585,,,,,,,,
,,,2032.429,1489.335,,,,,,,,
