Frequency (Hz),Red_X,Red_Y,Blue_X,Blue_Y,Green_X,Orange_X,Yellow_X,Yellow_Y,Pink_X,Purple_X,Purple_Y,Red2_X,Red2_Y,Blue2_X,Green2_X,Green2_Y,Orange2_X,Orange2_Y,Yellow2_X,Pink2_X,Pink2_Y
51.7651,0.9859,0.6651,0.1784,0.8077,0.1982,0.4262,1.1979,0.252,0.7379,0.2845,2.3578,0.226,0.1913,0.379,0.3364,0.0984,0.3129,0.4143,0.3239,0.4098,1.0212
51.865,1.3745,0.7818,0.2258,2.3275,0.7268,0.7886,4.1352,0.2745,0.1247,0.3402,2.4655,0.1129,0.8543,0.6008,0.1852,0.1155,1.0192,0.3695,0.3723,0.1728,0.7382
51.9649,1.6357,1.2336,0.4468,3.0422,0.8711,0.3953,0.517,0.2516,0.1891,0.2326,1.3243,0.4199,1.4854,0.5537,0.017,0.1235,1.5442,1.295,0.6014,0.0471,0.2785
52.0648,1.7167,1.4358,0.3621,1.415,0.3393,0.6432,4.4681,0.2853,0.5521,0.5132,1.2759,0.5569,1.6373,0.498,0.13,0.1307,1.3296,1.6692,0.4379,0.1005,0.4243
52.1648,1.5937,1.1854,0.2254,2.0764,0.2776,1.0838,1.6986,0.263,0.6887,0.2375,1.743,0.3642,1.2832,0.3482,0.281,0.0772,0.9715,1.1699,0.0452,0.1863,0.4192
52.2647,1.1672,0.8143,0.2358,2.8441,0.237,0.8197,3.8456,0.2666,0.5409,0.2924,1.3846,0.1181,0.9011,0.4536,0.3536,0.0243,0.7869,0.8017,0.1565,0.3896,0.6916
52.3646,0.6213,0.6579,0.0891,1.4981,0.4681,0.3287,2.6386,0.2587,0.4451,0.7189,1.0907,0.3539,1.059,0.3548,0.2808,0.0906,0.8316,0.754,0.0934,0.3635,0.8721
52.4646,0.6739,0.5196,0.244,2.3854,1.1251,0.9315,3.4031,0.2627,0.1726,0.7402,0.9094,0.3509,1.2562,0.4836,0.1317,0.1095,0.9599,0.9352,0.1974,0.1275,0.5588
52.5645,0.9289,0.52,0.273,3.1713,0.9804,0.4477,3.9286,0.2838,0.3407,0.1559,0.5992,0.1782,0.9698,0.4239,0.011,0.1312,0.881,1.1161,0.5085,0.1237,0.0891
52.6644,0.8954,0.7131,0.0125,1.6132,0.1255,0.2235,2.0773,0.2614,0.8473,0.8298,2.156,0.3018,0.3926,0.5461,0.161,0.1403,1.4811,1.0359,0.7364,0.1142,0.2584
52.7644,0.6882,0.7516,0.349,2.0747,0.9281,0.46,4.399,0.2695,0.7482,0.4227,3.0727,0.317,0.5838,0.1299,0.2694,0.0768,1.2677,0.7258,0.5214,0.2141,0.2913
52.8643,0.5027,0.598,0.3969,3.0843,1.0786,0.2416,1.3247,0.2478,1.0374,1.2489,2.0871,0.0719,0.5723,0.4483,0.251,0.0616,0.489,0.3916,0.4547,0.3888,0.6049
52.9642,0.4025,0.3855,0.0841,1.8454,0.3645,0.6859,4.8823,0.2768,0.4069,0.4559,1.0571,0.5342,1.5955,0.3428,0.1474,0.0936,0.4894,0.3262,0.6046,0.3153,0.6569
53.0642,0.3708,0.2008,0.3345,2.0015,0.6482,0.4432,1.2824,0.2753,0.2038,0.9131,2.0853,0.8093,2.7907,0.6287,0.067,0.0815,1.0193,0.7595,0.5588,0.0226,0.2416
53.1641,0.3603,0.1379,0.4789,2.9685,1.0068,0.4203,4.5382,0.2684,0.494,0.2709,2.1844,0.5939,2.6564,0.6589,0.066,0.0907,1.6599,1.2161,0.3733,0.1647,0.2329
53.264,0.3425,0.3089,0.2644,1.9062,0.8932,0.8016,2.5564,0.2602,0.5119,0.7376,1.672,0.1689,1.1265,0.1449,0.1911,0.0921,1.4264,0.9469,0.1781,0.1698,0.3705
