Frequency (Hz),Red_X,Red_Y,Blue_X,Blue_Y,Green_X,Green_Y,Orange_X,Orange_Y,Yellow_X,Pink_X,Pink_Y,Purple_X,Purple_Y,Red2_X,Red2_Y,Blue2_X,Green2_X,Orange2_X,Orange2_Y,Yellow2_X,Yellow2_Y,Pink2_X,Pink2_Y
3.6975,4.3041,20.6229,0.7163,0.0519,1.6939,1.526,2.063,1.9268,1.4851,1.6249,0.1371,1.2098,1.6412,1.2944,0.0131,1.6133,0.6029,2.705,4.4031,5.0267,0.6164,2.9648,0.6418
3.7974,4.6751,20.6146,0.7007,0.0384,1.0181,1.5638,0.7421,4.0796,1.0459,1.5191,0.1462,1.1456,1.5958,1.2604,0.012,0.3778,0.2343,2.7072,4.0398,7.2598,1.0895,0.4712,0.727
3.8974,5.1422,23.2977,0.7183,0.027,1.9728,1.5901,1.7274,2.8195,1.3999,1.4239,0.1542,1.0773,1.5594,1.2186,0.0167,2.8045,0.8114,2.7098,3.6744,2.9836,0.6175,3.4482,0.5725
3.9973,3.8902,18.1061,0.758,0.0178,3.005,1.5897,1.092,3.3667,2.0277,1.3483,0.1589,1.004,1.5322,1.1724,0.0229,3.8304,0.5737,2.7095,3.3136,4.6065,0.3652,5.231,0.2796
4.0972,4.9318,22.3294,0.8062,0.014,5.1605,1.5561,0.3241,1.4442,4.8885,1.3044,0.1575,0.9285,1.5088,1.1263,0.0288,2.7983,0.2976,2.6976,2.9927,5.4846,0.7476,5.2517,0.208
4.1972,4.4759,20.1831,0.8518,0.0192,2.081,1.4917,1.0885,1.5629,2.4148,1.3013,0.148,0.8568,1.4809,1.0844,0.0338,3.761,0.9089,2.6613,2.7861,3.3131,0.3459,3.5966,0.4955
4.2971,3.9174,18.6188,0.8873,0.0296,1.6715,1.4069,0.9844,0.238,1.293,1.3365,0.1296,0.7958,1.4404,1.0497,0.0373,4.1104,0.7475,2.5894,2.7737,4.3707,0.2305,0.8791,0.656
4.397,4.9558,21.6926,0.9086,0.0415,1.0453,1.3183,1.0692,0.0784,1.1125,1.3934,0.1028,0.7502,1.3835,1.023,0.0388,0.6913,0.369,2.4786,2.9615,3.8962,0.4528,2.0364,0.6159
4.497,3.7234,17.6984,0.9148,0.0533,1.8528,1.2448,1.6283,2.4539,1.6125,1.4482,0.0699,0.7195,1.312,1.003,0.0382,2.321,0.9993,2.3381,3.2582,4.0605,0.3014,4.1422,0.408
4.5969,4.3655,19.4434,0.9068,0.0641,4.0858,1.2011,0.495,2.3949,2.704,1.4797,0.0347,0.6983,1.234,0.9868,0.0363,1.1156,0.9917,2.1902,3.5405,4.2028,0.3096,4.83,0.1779
4.6968,4.4326,19.8684,0.8867,0.0729,5.4339,1.1911,0.7889,4.1053,4.5527,1.4755,0.0123,0.6783,1.1622,0.9705,0.0345,2.5519,0.4825,2.0644,3.7131,2.6757,0.3119,3.9475,0.3318
4.7968,3.4796,16.4791,0.8574,0.0792,2.3753,1.2059,0.5198,2.7431,2.0426,1.4347,0.0364,0.6534,1.1099,0.9509,0.0351,3.3917,0.9659,1.9852,3.7298,4.9335,0.452,1.8345,0.5176
4.8967,4.4967,19.9182,0.8214,0.0826,1.9538,1.229,0.5569,2.9696,1.4537,1.3674,0.0594,0.6213,1.0855,0.9258,0.0396,1.2373,1.1526,1.958,3.5939,4.062,0.3232,0.8035,0.5624
4.9966,3.6766,17.2373,0.7803,0.083,1.3543,1.2447,1.1731,0.7122,1.2529,1.2911,0.0735,0.5851,1.0879,0.8951,0.0472,1.9215,0.6607,1.9657,3.3534,2.0161,0.2972,3.0557,0.4287
5.0966,3.6916,16.9338,0.7351,0.0805,2.1674,1.2426,1.1477,0.552,1.1372,1.2252,0.0779,0.5518,1.1065,0.8605,0.0559,3.0994,0.8281,1.9807,3.086,5.5592,0.6662,4.2513,0.2125
5.1965,4.2012,18.9378,0.6861,0.0755,4.1585,1.2199,0.7143,1.2652,2.9913,1.1825,0.0735,0.5297,1.1266,0.8247,0.0637,0.5515,1.174,1.9811,2.8715,3.8531,0.3672,4.0421,0.2159
5.2964,3.2193,15.0118,0.6338,0.0685,4.4706,1.181,0.8369,0.5645,4.5652,1.1634,0.0635,0.524,1.1352,0.7914,0.0692,2.5796,0.8091,1.9596,2.7511,2.0867,0.3271,2.5481,0.412
5.3964,3.8911,17.7033,0.5797,0.0603,2.0637,1.1355,0.5092,2.0852,1.8817,1.1574,0.0533,0.5332,1.1241,0.7633,0.0716,1.7958,0.6379,1.9236,2.7034,5.9067,0.76,0.3204,0.5088
5.4963,3.733,16.401,0.5279,0.0514,1.6564,1.0956,0.5104,1.0068,1.1256,1.1511,0.0495,0.551,1.0908,0.742,0.0708,0.151,1.0558,1.8885,2.6682,3.6677,0.3579,1.9784,0.4424
5.5962,3.0379,14.8054,0.4855,0.0425,1.3929,1.0718,0.6531,2.5912,1.1879,1.1356,0.0542,0.5698,1.0382,0.727,0.067,1.9619,0.8675,1.867,2.5939,2.3582,0.426,3.5222,0.2561
5.6962,3.9799,17.0533,0.4614,0.0342,1.799,1.0685,1.1635,1.1698,1.2712,1.1097,0.0621,0.585,0.9732,0.7166,0.0613,0.9113,0.454,1.8618,2.4662,5.8527,0.8061,3.8741,0.1193
5.7961,2.917,14.4596,0.4628,0.027,4.3174,1.0817,0.5644,2.2998,3.8153,1.0781,0.0678,0.5964,0.905,0.7085,0.0553,0.9416,0.8252,1.864,2.3125,3.3308,0.3552,2.97,0.3176
5.896,3.3947,14.8617,0.4896,0.0215,3.9847,1.1018,1.1365,0.9118,3.9307,1.0475,0.0691,0.6066,0.8425,0.7006,0.0507,2.8802,0.8094,1.8599,2.1882,2.5655,0.52,1.1375,0.4613
5.996,3.4198,16.0208,0.5341,0.0186,1.6256,1.1168,0.4667,1.7621,1.3834,1.0216,0.0669,0.6196,0.792,0.6917,0.049,3.0537,0.3213,1.8379,2.1485,5.5484,0.8394,1.0217,0.4741
6.0959,2.7432,12.4732,0.5848,0.0188,1.1536,1.117,0.357,0.5377,1.1205,0.9982,0.0649,0.6376,0.755,0.6816,0.0501,1.2146,0.5449,1.7928,2.2152,2.8242,0.3913,2.7675,0.3466
6.1958,3.3514,15.5777,0.6314,0.0216,1.3542,1.0963,0.5757,1.8411,1.5154,0.9716,0.0678,0.6597,0.728,0.6707,0.0525,1.2896,0.6655,1.7261,2.3668,2.6245,0.4708,3.571,0.1627
6.2957,2.9948,13.1026,0.6662,0.0259,2.0348,1.0536,1.1094,0.9179,0.9717,0.9363,0.0772,0.6822,0.7051,0.6597,0.0544,0.742,0.262,1.6435,2.5624,5.1012,0.73,3.2071,0.1913
6.3957,2.6308,12.9676,0.6843,0.0307,5.1156,0.9927,0.7736,1.5536,4.0106,0.8919,0.09,0.7007,0.6809,0.6494,0.0546,2.2271,0.2795,1.5522,2.7659,2.2768,0.2213,1.824,0.3388
6.4956,3.3446,14.162,0.6835,0.0353,3.7892,0.9223,1.0684,2.079,3.6136,0.8449,0.1019,0.7121,0.6523,0.6407,0.0526,2.9597,0.461,1.4597,2.9532,2.5655,0.5984,0.1988,0.3946
