Frequency (Hz),Red_X,Blue_X,Green_X,Orange_X,Yellow_X,Pink_X,Purple_X,Red2_X,Red2_Y,Blue2_X,Green2_X,Orange2_X,Yellow2_X,Pink2_X
22.285,0.2326,0.0827,0.2225,0.5744,0.7133,0.0651,0.0651,0.5594,0.4126,0.0864,0.0113,0.0698,0.1242,0.2949
22.3849,0.2121,0.1071,0.1282,0.3646,0.6432,0.212,0.212,0.5762,0.3926,0.0739,0.0332,0.0732,0.0479,0.271
22.4848,0.3644,0.2639,0.1373,0.2281,0.3669,1.147,1.147,0.5067,0.8059,0.0136,0.0623,0.1099,0.0715,0.2614
22.5848,0.5557,0.3886,0.2595,0.2518,0.2772,1.8774,1.8774,0.4566,1.1266,0.0193,0.061,0.0821,0.0609,0.319
22.6847,0.6665,0.5751,0.3145,0.2852,0.5328,2.0339,2.0339,0.4391,1.0083,0.0754,0.0201,0.0588,0.067,0.2281
22.7846,0.5172,0.4558,0.3309,0.6646,0.5872,1.8471,1.8471,0.4405,0.7568,0.1311,0.0651,0.0718,0.1509,0.2656
22.8845,0.2691,0.2499,0.4582,0.46,0.5141,1.1438,1.1438,0.4779,0.7367,0.066,0.0158,0.0977,0.0973,0.3638
22.9845,0.2191,0.3068,0.5975,0.3434,0.4891,0.502,0.502,0.4719,0.7404,0.0157,0.0433,0.1178,0.0773,0.2356
23.0844,0.3292,0.4018,0.6418,0.4482,0.219,0.3026,0.3026,0.4402,0.6198,0.0744,0.0428,0.0427,0.16,0.2487
23.1843,0.3779,0.4766,0.652,0.6547,0.1795,0.055,0.055,0.5362,0.4017,0.0947,0.0087,0.0637,0.1116,0.3693
23.2843,0.3534,0.5867,0.6803,0.3796,0.4234,0.5636,0.5636,0.5995,0.909,0.0794,0.0562,0.0622,0.1428,0.2111
23.3842,0.3051,0.5792,0.6505,0.4443,0.4106,0.8905,0.8905,0.5638,1.1262,0.0485,0.0852,0.0354,0.0368,0.1439
23.4841,0.3431,0.6134,0.5564,0.274,0.4603,0.9282,0.9282,0.4624,0.993,0.0428,0.0691,0.1038,0.0931,0.3053
23.5841,0.4213,0.7508,0.539,0.3954,0.3628,0.9588,0.9588,0.4133,1.0874,0.0826,0.0295,0.114,0.0976,0.1778
23.684,0.4679,0.8199,0.6037,0.3642,0.2209,0.9515,0.9515,0.4407,1.1855,0.0835,0.0127,0.0293,0.114,0.1118
23.7839,0.4713,0.9308,0.6113,0.5316,0.3371,0.8586,0.8586,0.434,0.9564,0.0573,0.0362,0.0398,0.0302,0.2462
23.8839,0.4254,0.9749,0.5598,0.7576,0.5496,1.0246,1.0246,0.4533,0.5118,0.018,0.0939,0.0555,0.2287,0.125
23.9838,0.4271,0.7856,0.5257,0.7376,0.3673,1.159,1.159,0.4639,0.5073,0.0544,0.1409,0.1103,0.1882,0.1405
24.0837,0.4325,0.7908,0.4908,0.2185,0.3621,1.3757,1.3757,0.4727,0.4723,0.0849,0.1273,0.1221,0.0897,0.2385
24.1837,0.3119,0.9704,0.4389,0.3684,0.3871,1.3941,1.3941,0.5101,0.3117,0.0701,0.0812,0.0921,0.1387,0.1291
24.2836,0.1961,1.0307,0.4687,0.4281,0.3785,1.2362,1.2362,0.5072,0.6897,0.0351,0.0591,0.1447,0.1774,0.1026
24.3835,0.2267,1.082,0.5476,0.6021,0.6237,1.2229,1.2229,0.4715,0.8299,0.0329,0.0461,0.077,0.3151,0.1285
24.4835,0.3589,1.021,0.5394,0.915,0.7491,1.2952,1.2952,0.4658,0.889,0.0635,0.0831,0.1162,0.1243,0.0512
24.5834,0.5032,0.78,0.4393,0.8415,0.5514,1.5704,1.5704,0.3909,0.9571,0.1011,0.1329,0.2277,0.1526,0.1802
24.6833,0.5377,0.7364,0.3293,0.3713,0.5591,1.7203,1.7203,0.263,1.2104,0.0598,0.106,0.3326,0.1216,0.1732
24.7833,0.4118,0.8637,0.2148,0.2212,0.4497,1.611,1.611,0.4081,1.1745,0.0493,0.0333,0.1025,0.0422,0.0728
24.8832,0.3252,0.8915,0.0689,0.2272,0.3733,1.5498,1.5498,0.6036,0.5918,0.087,0.039,0.1351,0.1261,0.1477
24.9831,0.4089,0.7938,0.1289,0.4218,0.5317,1.5192,1.5192,0.5675,0.5419,0.0568,0.0156,0.1586,0.1214,0.119
25.0831,0.5469,0.5689,0.194,0.7895,0.5852,1.2549,1.2549,0.4613,0.8278,0.0522,0.0706,0.1521,0.0742,0.0391
25.183,0.5752,0.454,0.2232,0.6233,0.6485,1.0195,1.0195,0.3569,0.6335,0.0726,0.1186,0.0355,0.1967,0.1093
25.2829,0.4749,0.5472,0.3418,0.3836,0.754,1.2051,1.2051,0.2919,0.5015,0.0548,0.1175,0.042,0.1498,0.0819
25.3829,0.3756,0.5463,0.4543,0.2859,0.6654,1.3683,1.3683,0.458,0.5914,0.1001,0.0936,0.0514,0.1668,0.0699
25.4828,0.3577,0.4569,0.5287,0.1993,0.7036,1.3016,1.3016,0.5538,0.7566,0.0967,0.0247,0.1648,0.1145,0.0442
25.5827,0.3883,0.3133,0.6533,0.2911,0.8242,0.9424,0.9424,0.4239,0.9053,0.0074,0.0661,0.1548,0.1299,0.0848
25.6827,0.478,0.19,0.7767,0.4703,0.7203,0.6175,0.6175,0.2962,0.7808,0.0662,0.0173,0.2082,0.1649,0.1648
25.7826,0.469,0.1763,0.7891,0.2244,0.7683,0.5803,0.5803,0.2879,0.9136,0.0769,0.0717,0.1569,0.1234,0.0922
25.8825,0.4073,0.429,0.7322,0.4546,0.8256,0.6266,0.6266,0.4499,0.8104,0.0392,0.1364,0.0775,0.2155,0.106
25.9825,0.4092,0.5003,0.703,0.3898,0.6629,0.6063,0.6063,0.5626,0.5437,0.0365,0.1319,0.1822,0.1429,0.2228
26.0824,0.4011,0.4222,0.6596,0.2219,0.6322,0.6315,0.6315,0.3914,0.7938,0.0153,0.0911,0.0906,0.1319,0.1692
26.1823,0.4082,0.3196,0.5677,0.2671,0.7509,0.7043,0.7043,0.404,0.5102,0.0653,0.0339,0.0714,0.0822,0.1789
26.2823,0.4645,0.1872,0.5164,0.3052,0.9095,0.7189,0.7189,0.4672,0.4597,0.075,0.0577,0.0674,0.1824,0.2928
26.3822,0.5204,0.1464,0.5037,0.2172,1.0456,0.6027,0.6027,0.3892,0.5146,0.0509,0.0909,0.0572,0.2203,0.2401
26.4821,0.4722,0.2217,0.4505,0.4959,0.9348,0.7113,0.7113,0.353,0.806,0.0362,0.1263,0.0211,0.0983,0.149
26.5821,0.3292,0.4244,0.3985,0.3147,0.7166,0.9233,0.9233,0.3612,1.1321,0.0697,0.0803,0.063,0.0358,0.2426
26.682,0.1741,0.6573,0.3827,0.3439,0.6068,0.943,0.943,0.3541,0.8876,0.1316,0.0564,0.1084,0.0992,0.2494
26.7819,0.116,0.5668,0.3628,0.5692,0.5117,0.7932,0.7932,0.5299,0.5449,0.0907,0.0172,0.1099,0.1028,0.2061
26.8819,0.2302,0.271,0.3617,0.6202,0.4848,0.5747,0.5747,0.4841,0.7051,0.0178,0.0604,0.1048,0.0666,0.2521
26.9818,0.349,0.2367,0.3654,0.1164,0.8201,0.4697,0.4697,0.2992,0.5044,0.1026,0.0691,0.1557,0.0776,0.2594
27.0817,0.3237,0.4299,0.319,0.3101,0.7868,0.6899,0.6899,0.3122,0.4481,0.1561,0.0881,0.1468,0.0655,0.1928
27.1816,0.1768,0.4832,0.263,0.1263,0.5178,1.0341,1.0341,0.4441,0.7735,0.0962,0.0595,0.0885,0.0938,0.1544
27.2816,0.0704,0.6897,0.2261,0.2596,0.4525,1.339,1.339,0.3917,0.8721,0.1214,0.0129,0.1061,0.2097,0.155
27.3815,0.1914,0.5063,0.1477,0.4236,0.4051,1.3474,1.3474,0.4495,0.645,0.0266,0.038,0.1262,0.2503,0.1288
27.4814,0.3128,0.0762,0.0961,0.4811,0.3917,0.7633,0.7633,0.3648,0.4557,0.1045,0.0659,0.0992,0.1565,0.1054
27.5814,0.3295,0.1036,0.1379,0.0794,0.547,0.1216,0.1216,0.1946,0.5342,0.1556,0.0464,0.0566,0.0893,0.0947
27.6813,0.3184,0.3609,0.1715,0.141,0.3676,0.6228,0.6228,0.2629,0.5632,0.1699,0.0414,0.0625,0.1118,0.0627
27.7812,0.3449,0.2752,0.3148,0.2077,0.1769,0.8188,0.8188,0.3756,0.3625,0.0572,0.0351,0.0356,0.2332,0.0327
27.8812,0.3091,0.1037,0.4854,0.2143,0.1587,0.5592,0.5592,0.4593,0.5094,0.0681,0.0079,0.1312,0.2014,0.0463
27.9811,0.2431,0.3088,0.5876,0.1612,0.1266,0.8075,0.8075,0.5667,1.0097,0.0631,0.0229,0.128,0.0885,0.0947
28.081,0.3141,0.5063,0.6611,0.2698,0.1734,0.8585,0.8585,0.4007,1.0257,0.1199,0.0821,0.1266,0.1597,0.1243
28.181,0.4545,0.3792,0.7369,0.4305,0.2898,0.5651,0.5651,0.1865,0.8601,0.0878,0.1029,0.1378,0.0415,0.1287
28.2809,0.477,0.2436,0.7452,0.4563,0.0498,0.1035,0.1035,0.2961,0.8918,0.0686,0.0606,0.1022,0.081,0.1805
28.3808,0.4563,0.204,0.6788,0.304,0.3223,0.6603,0.6603,0.3065,0.9495,0.024,0.0662,0.0545,0.0552,0.239
28.4808,0.485,0.2903,0.6482,0.282,0.3986,0.8932,0.8932,0.3032,0.7281,0.0371,0.0477,0.0547,0.0502,0.2446
28.5807,0.5335,0.3566,0.6802,0.3241,0.48,1.0252,1.0252,0.4869,0.5614,0.0406,0.0492,0.06,0.1134,0.2351
28.6806,0.5922,0.2457,0.6892,0.2493,0.4513,1.0287,1.0287,0.3772,0.6134,0.0765,0.0207,0.0132,0.1485,0.2802
28.7806,0.6467,0.1516,0.6599,0.464,0.3756,0.665,0.665,0.2479,0.461,0.0896,0.1134,0.1095,0.1048,0.3278
28.8805,0.6196,0.1066,0.6072,0.5967,0.4421,0.4403,0.4403,0.3359,0.5082,0.0911,0.1341,0.139,0.0799,0.2828
28.9804,0.6097,0.1138,0.5036,0.3888,0.488,0.6269,0.6269,0.3216,0.6665,0.068,0.0822,0.0493,0.0652,0.2454
29.0804,0.7199,0.3437,0.3416,0.408,0.5742,0.8136,0.8136,0.3734,0.7416,0.0046,0.03,0.0952,0.2447,0.3558
29.1803,0.8485,0.2319,0.1921,0.4463,0.6062,0.8362,0.8362,0.4455,0.7167,0.0608,0.0277,0.0637,0.2333,0.3473
29.2802,0.8755,0.4453,0.2023,0.2308,0.4092,0.5888,0.5888,0.2535,0.7125,0.1148,0.0732,0.1307,0.0529,0.2226
29.3802,0.8792,0.3921,0.2825,0.5171,0.46,0.311,0.311,0.1236,0.8123,0.1439,0.0961,0.0675,0.1107,0.3603
29.4801,0.946,0.0906,0.315,0.5101,0.5882,0.1269,0.1269,0.24,0.7476,0.1013,0.0581,0.0749,0.1387,0.4063
