Frequency (Hz),Red_X,Red_Y,Blue_X,Blue_Y,Green_X,Green_Y,Orange_X,Yellow_X,Pink_X,Purple_X,Red2_X,Blue2_X,Green2_X,Orange2_X,Yellow2_X,Pink2_X
12.9912,0.0762,0.0341,1.1403,0.6565,1.4075,0.3854,1.2007,2.8996,4.2636,3.4289,0.128,5.6639,1.1909,0.9019,1.8016,5.7563
13.0912,0.0735,0.0328,1.2359,0.6708,2.4235,0.8963,2.263,0.8148,1.1882,0.8954,0.1349,16.7178,1.4894,0.4924,1.6318,6.9599
13.1911,0.0699,0.0305,1.0734,0.627,1.2353,0.8242,1.9507,1.657,1.0657,1.2146,0.1409,15.45,1.6509,0.5748,1.3014,4.5687
13.291,0.0658,0.0271,0.7208,0.5614,0.6239,0.2222,0.3153,1.0353,0.9456,0.9197,0.146,8.7757,1.4564,0.6958,2.3718,1.131
13.391,0.0617,0.0228,0.4333,0.5221,0.9402,0.8481,0.6214,1.1701,1.097,0.3583,0.1501,3.5567,1.1223,0.8648,4.1961,2.4745
13.4909,0.0582,0.0177,0.664,0.5502,2.6918,1.6356,0.7589,2.4771,3.2131,2.377,0.1533,8.6242,1.1063,0.8081,5.7878,4.6913
13.5908,0.0557,0.0122,1.0152,0.6143,1.7093,0.8268,0.5044,2.9566,4.0051,3.2908,0.1556,4.0378,1.3051,0.4833,5.4607,2.859
13.6908,0.0547,0.0064,1.1855,0.6439,1.7035,1.5689,1.2722,3.6118,1.0055,0.9242,0.1571,14.9023,1.3809,0.658,3.6719,4.2063
13.7907,0.0554,0.0017,1.1104,0.6204,1.159,1.8449,1.0052,3.4432,0.8979,1.0627,0.1577,14.8714,1.3777,1.1412,3.1602,3.3619
13.8906,0.0574,0.0061,0.8195,0.5643,0.8334,1.2493,1.8701,2.681,0.7997,0.6891,0.1578,9.6311,1.4161,1.4057,5.3656,1.6615
13.9906,0.0603,0.0117,0.4607,0.5093,1.0787,0.9117,2.3236,2.4855,1.1686,0.2491,0.1573,4.3302,1.3588,1.5426,5.5106,2.9109
14.0905,0.0634,0.0169,0.5232,0.5148,2.025,2.0292,1.4375,2.2518,3.2766,2.3798,0.1564,9.4837,1.088,1.5284,3.837,4.4763
14.1904,0.0664,0.0214,0.899,0.5813,2.0466,1.6136,1.7888,0.6649,3.6533,3.0947,0.1551,2.6071,0.9557,1.5751,2.6337,2.4641
14.2904,0.0687,0.0251,1.1437,0.6276,1.5214,1.548,2.9579,3.1988,0.829,0.9057,0.1536,13.2658,1.2918,2.1458,0.9338,1.2797
14.3903,0.0701,0.0279,1.1419,0.6134,0.4144,1.8719,2.3558,3.1403,0.6573,0.8582,0.1521,13.9168,1.5713,2.6012,1.7944,5.5165
14.4902,0.0704,0.0297,0.8993,0.5543,0.4504,1.4926,1.8124,2.1441,0.8165,0.4465,0.1505,10.1411,1.4953,2.5088,1.6563,6.5491
14.5902,0.0696,0.0303,0.5174,0.4863,1.6547,0.5932,2.2387,2.2901,1.2281,0.239,0.1491,5.4123,1.1779,2.4453,2.5932,3.3577
14.6901,0.0676,0.03,0.382,0.4685,1.9894,0.5452,1.639,3.393,3.118,2.3077,0.1478,10.1193,0.9495,2.5443,4.925,2.9632
14.79,0.0646,0.0285,0.7161,0.5184,1.6712,0.8621,0.9705,2.4839,3.2618,2.849,0.1469,2.9537,1.0159,2.7025,6.0627,4.2497
14.89,0.061,0.0261,0.9974,0.5687,1.7401,0.3845,1.8191,1.6053,0.871,0.9824,0.1463,11.2093,1.2134,3.1189,4.3041,4.289
14.9899,0.0572,0.0228,1.0706,0.5778,0.7361,0.7057,1.0762,1.246,0.6283,0.5998,0.1461,13.1626,1.3933,3.0535,1.3718,3.6608
15.0898,0.0535,0.0187,0.9155,0.548,0.5064,1.2079,0.9989,1.339,0.8597,0.3524,0.1464,9.9188,1.4758,2.4909,2.9849,2.7262
15.1897,0.0506,0.014,0.5886,0.4923,1.2121,1.1141,1.5572,1.0972,1.038,0.2495,0.1472,6.29,1.3356,2.5041,4.4009,1.0296
15.2897,0.0489,0.0088,0.3472,0.4582,2.2998,0.6242,0.8417,0.4225,2.8493,2.0699,0.1484,11.0213,0.9275,2.5659,4.3764,0.6893
15.3896,0.0487,0.0034,0.6104,0.492,1.5511,0.1272,1.6,2.559,3.1185,2.7974,0.15,3.9144,0.7055,2.4876,3.8557,1.4923
15.4895,0.05,0.0021,0.9274,0.5475,1.2102,0.5049,2.5092,3.9631,0.8437,1.0361,0.152,8.9906,1.189,2.5854,1.0031,1.0599
15.5895,0.0523,0.0075,1.0633,0.5692,0.8772,0.7561,1.9007,3.4442,0.7622,0.5892,0.1543,12.2124,1.6062,2.1247,1.9488,2.6199
15.6894,0.0552,0.0125,0.9714,0.5454,1.0233,0.2947,2.2675,2.5075,0.6703,0.2777,0.1567,9.517,1.589,1.5092,0.8086,2.0556
15.7893,0.0582,0.0171,0.6801,0.4832,1.2027,0.6086,2.7913,2.5563,0.7961,0.1227,0.1591,6.5528,1.171,1.7674,1.5308,1.0449
15.8893,0.0608,0.021,0.3399,0.4303,1.7835,1.3823,1.9877,2.4316,2.7723,2.0972,0.1613,11.9443,0.6891,1.7871,3.4662,1.5155
15.9892,0.0626,0.0241,0.4664,0.4522,2.0088,1.0494,2.0315,0.2926,2.9399,2.6923,0.1633,4.8726,0.7848,1.6348,5.0377,1.231
16.0891,0.0634,0.0264,0.8172,0.5158,0.8542,1.0508,2.7006,1.1252,0.6495,0.8948,0.1647,7.3329,1.1924,1.7898,3.7856,1.6625
16.1891,0.0632,0.0277,1.0267,0.5564,0.2548,1.1581,1.8408,0.5949,0.7726,0.5443,0.1656,10.669,1.473,1.5162,1.9696,3.9007
16.289,0.062,0.0281,1.0163,0.5527,0.9486,0.6445,1.5569,0.7879,0.4504,0.2358,0.1656,9.2777,1.5198,1.0973,2.5396,5.4502
16.3889,0.0597,0.0274,0.7869,0.5011,1.817,0.2131,2.0412,0.9867,0.6541,0.1281,0.1648,6.5756,1.2482,1.6198,3.3783,4.3525
16.4889,0.0568,0.0259,0.4302,0.4355,1.3584,0.4142,1.1777,2.1419,2.6967,2.0678,0.1629,12.331,0.6719,1.8028,3.6877,3.3146
16.5888,0.0533,0.0234,0.3517,0.4293,1.86,0.2416,1.3046,3.0729,2.6994,2.5674,0.16,6.3097,0.5544,1.6764,3.6903,2.8596
16.6887,0.0498,0.0202,0.6801,0.4787,1.1473,0.2785,1.9202,3.3009,0.4766,0.7706,0.1558,5.9746,1.2521,1.8682,0.8545,3.5369
16.7887,0.0468,0.0163,0.9266,0.5184,0.3498,0.4708,1.2117,2.7108,0.8309,0.5814,0.1505,9.0673,1.6877,1.5888,1.2676,1.4032
16.8886,0.0446,0.0119,0.9705,0.5204,0.602,0.9908,1.8081,2.3475,0.2334,0.4581,0.1439,8.6936,1.6158,1.4501,0.5541,3.1787
16.9885,0.0439,0.0071,0.7967,0.4773,1.498,0.9402,2.3571,2.0275,0.5642,0.1617,0.1361,6.7689,1.0776,2.0271,0.99,5.0201
17.0885,0.0445,0.0023,0.4646,0.4124,1.8389,0.6037,1.628,0.7945,2.7237,2.1305,0.1271,12.3454,0.3888,1.9316,1.7177,4.5804
17.1884,0.0464,0.0031,0.2641,0.3934,1.2671,0.3426,2.1277,2.3109,2.3151,2.3062,0.117,7.7088,0.72,1.7188,3.2158,2.5306
17.2883,0.0491,0.0078,0.5624,0.4348,0.9193,0.3816,2.5918,3.0119,0.2559,0.6463,0.1058,4.4693,1.2944,1.8381,3.7226,2.447
17.3883,0.0521,0.0122,0.8455,0.4827,0.7529,0.6448,1.8472,2.0623,0.7861,0.5543,0.0938,7.8634,1.5707,1.5487,3.2415,2.4362
17.4882,0.0548,0.0162,0.9534,0.5061,0.9967,0.2125,2.1335,1.3479,0.1897,0.6227,0.0811,7.5529,1.4894,1.8057,3.6774,1.9152
17.5881,0.0571,0.0195,0.854,0.4875,1.1212,0.8902,2.5935,1.874,0.6113,0.1647,0.068,6.7241,1.0501,2.1103,3.2705,5.4829
17.6881,0.0585,0.0221,0.5821,0.4335,1.7568,1.417,1.6466,2.0059,2.6138,2.0967,0.0549,12.5134,0.358,1.7007,2.9616,5.3212
17.788,0.0589,0.0239,0.3128,0.3993,1.5181,1.4159,1.7002,1.7182,1.8414,2.0435,0.0424,8.5278,0.637,1.6611,2.2667,3.4068
17.8879,0.0584,0.0248,0.474,0.4191,0.4091,1.1622,2.0588,1.3649,0.3377,0.5964,0.0322,3.6344,1.3586,1.7622,1.1225,3.9336
17.9879,0.0569,0.0249,0.7753,0.4613,0.4285,1.1743,1.304,1.1569,0.7734,0.5776,0.0274,6.5885,1.7136,1.5111,0.698,4.1605
18.0878,0.0545,0.024,0.9451,0.4944,1.2052,0.4201,1.6379,1.4492,0.2945,0.78,0.0306,6.3824,1.5497,1.8057,1.1128,1.281
18.1877,0.0515,0.0223,0.9129,0.4895,1.4856,0.3484,2.0805,0.7999,0.6732,0.172,0.0398,6.0785,0.9114,1.8014,0.5728,1.5525
18.2877,0.0482,0.0198,0.6807,0.4366,1.2508,0.5464,1.2102,1.7886,2.4181,1.9911,0.0514,12.6612,0.0813,1.284,0.7003,0.5848
18.3876,0.0451,0.0167,0.3454,0.3821,1.6224,0.5815,1.6688,3.3365,1.3337,1.7583,0.0637,9.1358,0.8537,1.3943,2.4056,3.4037
18.4875,0.0425,0.013,0.3299,0.3814,0.5695,0.5611,1.926,3.1095,0.5613,0.6688,0.0759,3.8949,1.4262,1.41,3.8178,3.4615
18.5875,0.041,0.009,0.6516,0.4231,0.2601,0.7446,1.3235,2.1957,0.7762,0.5799,0.0875,5.019,1.5891,1.0946,2.7124,3.2068
18.6874,0.0409,0.0048,0.8812,0.4711,0.9485,0.9902,1.9476,1.8895,0.3767,0.8801,0.0983,5.4951,1.3424,1.3922,2.904,4.2765
18.7873,0.0421,0.0022,0.9207,0.488,1.382,0.6827,2.3177,1.9305,0.7463,0.2087,0.1081,5.2226,0.7717,1.4417,2.7109,4.3591
18.8873,0.0443,0.0051,0.7564,0.4523,1.4398,0.3728,1.3941,0.7406,2.1689,1.8943,0.1168,12.291,0.0929,0.9951,2.5772,2.4637
18.9872,0.047,0.0091,0.4525,0.3968,1.0325,0.1205,1.6742,0.8446,0.8013,1.4762,0.1243,9.916,0.8013,1.1802,2.123,1.6276
19.0871,0.0498,0.0129,0.2742,0.3771,0.5755,0.1501,1.8611,0.7945,0.8286,0.7978,0.1305,4.2487,1.4128,1.4005,1.1821,1.8979
19.1871,0.0523,0.0162,0.537,0.4036,0.7204,0.1132,1.2689,0.6905,0.7324,0.655,0.1354,3.8,1.6419,1.1558,0.551,2.512
19.287,0.0541,0.0189,0.8074,0.4514,0.9692,0.4596,1.7577,0.8576,0.3141,0.9226,0.1389,4.572,1.376,1.5674,1.3962,3.0926
19.3869,0.0551,0.0209,0.9145,0.4774,1.0285,0.8993,2.034,1.4295,0.9118,0.2958,0.141,4.5453,0.6807,1.8107,0.8451,2.6696
19.4868,0.0551,0.0222,0.8137,0.4469,1.5801,1.2548,1.0568,2.653,1.7096,1.6761,0.1419,11.5786,0.2376,1.3758,0.1286,0.6579
19.5868,0.0542,0.0227,0.5352,0.3812,0.9967,1.4081,1.3815,2.9722,0.5011,1.2594,0.1414,10.4564,1.017,1.5996,2.2587,1.9804
19.6867,0.0524,0.0223,0.2303,0.3407,0.1915,0.9777,1.5445,2.2569,0.8874,0.9569,0.1396,4.7632,1.4672,1.7885,3.1231,0.5688
19.7866,0.0498,0.0212,0.4014,0.356,0.6134,0.9148,1.0655,1.6863,0.6524,0.6793,0.1367,3.1687,1.4809,1.5155,1.3863,0.8983
19.8866,0.0468,0.0194,0.7073,0.4091,1.2775,0.7213,1.6995,1.6707,0.3983,0.8881,0.1326,3.5284,1.1026,1.9169,0.8424,1.5095
19.9865,0.0437,0.0169,0.8682,0.4535,1.057,1.0023,1.9114,0.9032,0.9205,0.3931,0.1275,3.7106,0.468,1.8598,1.3652,1.9853
20.0864,0.0408,0.0139,0.8272,0.4473,1.2721,1.0545,0.9423,1.3372,1.3194,1.4419,0.1215,11.0061,0.26,1.3078,1.9903,4.3857
20.1864,0.0387,0.0105,0.6021,0.3983,1.2044,1.1031,1.2336,2.3654,0.5207,1.1432,0.1148,10.4539,0.9222,1.6244,2.3022,5.2222
20.2863,0.0377,0.0068,0.295,0.3538,0.3239,0.5437,1.4059,1.7698,0.9969,1.0988,0.1074,5.6884,1.363,1.558,1.1931,3.3474
20.3862,0.038,0.0033,0.3122,0.3513,0.3838,0.5736,0.9587,1.178,0.6828,0.6984,0.0997,2.5678,1.4404,1.3019,1.3005,1.9005
20.4862,0.0394,0.0028,0.6149,0.3946,1.0806,0.2543,1.5162,1.2921,0.5564,0.784,0.0917,2.7832,1.0947,1.5362,2.2553,1.4068
20.5861,0.0416,0.006,0.8204,0.4424,1.1783,0.1142,1.6036,1.9948,1.0109,0.504,0.0839,2.4672,0.4231,1.1229,2.1513,2.3882
20.686,0.0442,0.0095,0.8406,0.4445,1.079,0.2336,0.6438,1.9901,0.9043,1.1772,0.0765,10.3942,0.4332,0.8248,0.904,1.5093
20.786,0.0467,0.0127,0.6692,0.3991,0.7166,0.8124,1.0026,1.4412,0.7471,1.1666,0.07,10.3217,1.0762,1.1952,1.4463,0.8342
20.8859,0.0487,0.0155,0.3666,0.345,0.5298,0.568,1.1619,0.7878,1.0009,1.1764,0.0648,6.4152,1.3825,0.8971,2.0181,1.5214
20.9858,0.0501,0.0177,0.1981,0.3206,0.7523,0.5087,0.8312,1.1417,0.742,0.6733,0.0615,2.3559,1.2694,0.717,1.5635,2.4624
21.0858,0.0507,0.0193,0.4886,0.3513,0.6878,0.2225,1.5501,1.0156,0.8779,0.6555,0.0604,2.708,0.8065,0.7979,1.0636,2.1895
21.1857,0.0504,0.0202,0.7425,0.4103,1.1093,0.6359,1.5711,1.1728,0.9838,0.5775,0.0615,1.1817,0.1682,0.365,0.2425,2.1859
21.2856,0.0493,0.0204,0.8325,0.4379,1.2839,1.0073,0.6438,2.7652,0.6729,0.9747,0.0645,9.3304,0.4561,0.5487,1.6226,2.4503
21.3856,0.0473,0.0198,0.7357,0.4173,0.3124,1.3388,0.9254,2.9741,0.8021,1.2137,0.069,10.3399,0.9239,0.7427,2.3735,0.3782
21.4855,0.0449,0.0186,0.4884,0.372,0.3969,0.8087,1.2731,1.9556,1.1068,1.1989,0.0744,6.6907,1.1658,0.3983,0.9835,3.1858
21.5854,0.0421,0.0167,0.2316,0.3323,0.9245,0.6518,0.9198,1.1976,0.9859,0.6946,0.0802,2.9074,1.1282,0.2649,2.0209,4.541
