Frequency (Hz),Red_X,Red_Y,Blue_X,Green_X,Orange_X,Yellow_X,Pink_X,Purple_X,Red2_X,Blue2_X,Green2_X,Orange2_X,Yellow2_X,Pink2_X,Pink2_Y
2.5982,1.6096,2.45,6.6455,6.7995,7.4629,7.6033,5.208,5.208,4.5848,5.2634,1.6288,5.494,3.5883,3.3764,2.623
2.6982,2.8266,3.458,6.5145,6.2987,4.1139,3.8438,2.5369,2.5369,2.0774,1.6794,2.6982,0.8809,4.032,2.3734,3.0798
2.7981,2.9278,3.1038,6.1866,4.7594,1.8099,1.2943,3.2182,3.2182,5.0244,2.8399,2.7175,2.6914,3.6171,2.2865,3.2182
2.898,1.6846,2.0298,5.1482,3.2312,5.0968,6.169,6.2063,6.2063,7.1731,7.1028,1.1865,7.5601,2.2767,1.839,2.8676
2.998,4.8623,2.0461,3.6302,1.8212,6.9982,8.7714,9.4351,9.4351,8.152,9.5972,1.3469,9.3431,3.6402,0.9677,1.9987
3.0979,4.1199,1.5796,2.3448,2.7815,5.9617,7.5004,7.0802,7.0802,7.6916,7.4936,2.4826,6.303,4.001,0.5097,2.171
3.1978,4.5017,0.5246,1.5494,4.4501,5.9274,5.9843,6.1552,6.1552,5.4855,5.7195,2.244,3.5123,2.4079,0.7851,3.0971
3.2978,1.401,0.9557,1.2335,4.4483,3.3269,4.0392,2.7107,2.7107,2.8271,0.1,1.3063,1.5588,3.1523,1.2049,2.9566
3.3977,1.9637,1.2869,1.9199,4.4168,0.9176,3.124,2.6674,2.6674,0.4026,3.5881,2.3481,3.4448,3.3822,1.8627,1.8318
3.4976,0.8691,2.9024,2.7148,3.5972,2.9418,3.7703,6.3016,6.3016,3.0326,7.773,3.139,6.7099,1.7277,2.422,1.4816
3.5976,2.1019,3.8856,2.9612,1.8549,4.7742,6.2476,7.4763,7.4763,4.3058,9.0606,2.2349,7.4081,2.3306,2.5056,2.7837
3.6975,0.4065,3.3667,2.9819,1.426,5.2134,7.1118,6.7376,6.7376,4.1553,5.9906,0.9053,4.6864,2.8764,2.54,3.7385
3.7974,1.716,2.6023,3.4436,1.6704,5.4547,6.0498,5.2881,5.2881,3.6411,3.7225,1.757,3.7655,1.9954,2.588,3.8176
3.8974,0.7149,2.5109,4.0091,1.8785,3.8757,3.7108,2.7167,2.7167,2.0973,1.6369,1.563,1.6513,2.0853,2.4557,3.8921
3.9973,2.1419,2.8569,3.9698,2.6682,2.3688,1.9165,2.3939,2.3939,1.6665,3.3169,0.3344,1.7247,3.1729,2.3538,4.9332
4.0972,1.5035,3.6909,3.2119,2.9522,2.0141,3.1907,4.4149,4.4149,1.9138,6.5775,1.6515,5.3836,2.1495,1.9729,5.7977
4.1972,2.5581,3.8616,2.3151,2.3871,3.0536,4.1846,6.6517,6.6517,2.4001,6.5818,2.2275,7.28,1.018,1.3306,5.6814
4.2971,1.6204,3.5812,2.1097,1.7514,4.0742,4.0505,5.8768,5.8768,1.3964,4.37,1.5085,5.5674,2.1788,1.1183,5.369
4.397,2.7158,4.1753,2.4022,1.1375,4.1278,5.3475,5.6131,5.6131,1.696,3.8211,0.8554,4.1523,1.6911,1.0944,6.1205
4.497,1.9474,4.8405,2.4679,1.2893,3.4853,5.2953,3.0107,3.0107,2.6182,2.3001,2.0076,0.7244,1.5461,0.9803,7.5193
4.5969,1.9619,4.438,2.1214,1.5435,2.3155,2.4612,1.5804,1.5804,3.5844,2.0963,2.2672,2.005,2.8829,0.9092,8.1444
