Frequency (Hz),Red_X,Red_Y,Blue_X,Blue_Y,Green_X,Green_Y,Orange_X,Orange_Y
,,,0.7481,1.2757,,,2.0558,2.2713
,,,1.4341,1.0074,,,2.1321,2.198
,,,1.1988,1.5694,,,2.3405,2.2663
,,,2.5467,1.5669,,,2.3501,2.3683
,,,2.0685,1.4685,,,2.3507,2.4012
,,,1.6974,1.9645,,,2.1831,2.2498
,,,0.8807,0.0912,,,2.1621,2.2361
,,,0.974,1.4994,,,2.294,2.368
,,,2.1099,1.8289,,,2.3763,2.4438
,,,2.0334,1.2119,,,2.5506,2.5132
,,,2.6235,1.9287,,,2.4387,2.5033
,,,0.4053,1.3202,,,2.3133,2.4589
,,,0.6625,0.8499,,,2.3246,2.4252
,,,1.6712,1.9845,,,2.4097,2.4944
,,,1.861,1.1948,,,2.5825,2.5873
,,,2.5605,1.5219,,,2.4856,2.5555
,,,1.9525,2.1981,,,2.4639,2.4739
,,,0.99,1.0071,,,2.4929,2.5246
,,,1.1448,1.3952,,,2.5066,2.6517
,,,1.7052,1.7795,,,2.6664,2.7811
,,,1.8829,0.9768,,,2.6743,2.6733
,,,2.7937,2.041,,,2.7525,2.5416
,,,1.7857,1.8836,,,2.6384,2.5794
,,,0.4344,0.7678,,,2.5037,2.7803
,,,1.6054,1.9018,,,2.6318,2.9587
,,,1.2306,0.8911,,,2.7428,2.8447
,,,2.7655,1.6037,,,2.9454,2.8033
,,,2.4501,2.1975,,,2.8572,2.7313
,,,2.0764,1.7089,,,2.7094,2.837
,,,1.4979,1.3258,,,2.7072,2.8729
,,,0.9119,1.4408,,,2.8818,2.9015
,,,2.1147,1.2671,,,3.0728,3.0176
,,,2.3961,1.5671,,,2.9518,2.9791
,,,3.3235,2.5739,,,2.8998,3.0503
,,,1.2976,1.0987,,,2.7208,2.9134
,,,1.0249,1.3731,,,2.6456,2.9736
,,,1.5653,1.4219,,,2.8398,2.9539
,,,2.0741,0.9979,,,2.9672,2.9622
,,,3.9012,2.4702,,,2.9558,2.9897
,,,2.79,2.5562,,,2.9417,3.0136
,,,1.9357,1.9135,,,2.9743,3.088
,,,0.9228,1.6822,,,3.0011,3.1551
,,,1.6282,1.0265,,,3.144,3.2927
,,,2.9957,1.4706,,,3.2477,3.2755
,,,4.054,3.0234,,,3.0673,3.2945
,,,3.0457,2.5943,,,2.9247,2.9984
,,,0.508,1.364,,,2.9992,3.125
,,,1.5718,1.6709,,,2.9799,3.2377
