Frequency (Hz),Red_X,Red_Y,Blue_X,Blue_Y,Green_X,Green_Y,Orange_X,Orange_Y,Yellow_X,Yellow_Y,Pink_X,Pink_Y,Purple_X,Purple_Y,Red2_X,Red2_Y,Blue2_X,Blue2_Y,Green2_X,Green2_Y,Orange2_X,Orange2_Y,Yellow2_X,Yellow2_Y,Pink2_X,Pink2_Y
44.6698,0.0156,0.013,0.098,0.0799,0.0828,0.0551,0.0487,0.0715,0.1113,0.0417,0.3122,0.4235,0.5801,0.453,0.0403,0.0648,0.1738,0.1975,0.3677,363.1529,0.1149,0.0526,0.2295,0.2274,0.116,0.357
44.7698,0.0143,0.0132,0.0999,0.0649,0.0876,0.0816,0.0443,0.0748,0.1043,0.0587,0.295,0.4889,2.6164,0.7954,0.0416,0.0681,0.1715,0.2376,0.3373,312.0171,0.1214,0.0419,0.2232,0.2352,0.1109,0.2099
44.8697,0.0154,0.013,0.1032,0.0467,0.0911,0.1035,0.0403,0.073,0.1004,0.0724,0.2666,0.5585,3.3188,0.7321,0.0413,0.0703,0.173,0.2633,0.2993,229.4583,0.1268,0.0307,0.2072,0.2453,0.0938,0.0976
44.9696,0.0179,0.0126,0.1065,0.0317,0.0923,0.1187,0.0373,0.0668,0.101,0.0809,0.2283,0.6246,3.1622,0.2207,0.0392,0.0709,0.1782,0.2646,0.2738,125.6576,0.1302,0.0193,0.1893,0.2515,0.0718,0.2059
45.0696,0.0206,0.012,0.1084,0.0308,0.0909,0.1257,0.0357,0.0579,0.1045,0.0833,0.1816,0.6854,3.0864,0.3983,0.0354,0.0694,0.1851,0.2395,0.2776,35.239,0.1315,0.0085,0.1803,0.25,0.0622,0.3732
45.1695,0.0224,0.0115,0.1079,0.042,0.0873,0.1238,0.0352,0.0498,0.1086,0.0797,0.1287,0.7406,2.7985,0.5409,0.031,0.0659,0.191,0.194,0.3061,118.5008,0.1304,0.0066,0.1865,0.24,0.0814,0.5242
45.2694,0.0228,0.0113,0.1049,0.0539,0.0821,0.1131,0.0353,0.0476,0.1113,0.0714,0.073,0.7893,3.7851,0.26,0.0282,0.0612,0.1938,0.146,0.3393,218.5518,0.1272,0.0166,0.2038,0.2245,0.1161,0.6396
45.3694,0.0216,0.0112,0.1008,0.0616,0.0768,0.0949,0.0356,0.0541,0.1116,0.0612,0.0313,0.8276,2.4877,0.4379,0.0291,0.0568,0.1926,0.1314,0.3595,295.3212,0.1223,0.0272,0.2218,0.2094,0.1507,0.7076
45.4693,0.0193,0.0114,0.0977,0.064,0.073,0.0717,0.0365,0.0662,0.11,0.0537,0.0648,0.8495,1.4889,0.0043,0.0337,0.0552,0.1881,0.1669,0.358,338.8552,0.1164,0.0372,0.2316,0.2011,0.1776,0.7217
45.5692,0.0163,0.0116,0.0978,0.0609,0.0721,0.0496,0.0385,0.0794,0.1081,0.0539,0.1209,0.849,1.3882,0.6654,0.0397,0.0584,0.1825,0.2179,0.3351,343.7533,0.1104,0.0462,0.2289,0.2029,0.193,0.6803
45.6692,0.014,0.0117,0.1019,0.0531,0.0744,0.0436,0.0419,0.0906,0.107,0.0615,0.1756,0.8215,1.6303,0.6158,0.0448,0.0664,0.1783,0.2561,0.2999,308.9827,0.105,0.054,0.2147,0.2116,0.1956,0.5872
45.7691,0.0137,0.0116,0.1083,0.0416,0.0788,0.0613,0.0463,0.0977,0.1075,0.0715,0.2249,0.7663,2.0617,0.6728,0.0476,0.0774,0.1775,0.269,0.2696,238.0362,0.1006,0.0606,0.195,0.2205,0.1865,0.4522
