Frequency (Hz),Red_X,Red_Y,Blue_X,Blue_Y,Green_X,Green_Y,Orange_X,Orange_Y,Yellow_X,Yellow_Y,Pink_X,Pink_Y,Purple_X,Purple_Y
,,,633.7044,9.7497,483.2636,546.6534,73.9299,261.7992,385.66,355.2811,135.9039,156.1511,269.7575,1.7248
,,,527.251,8.241,724.5354,445.5599,267.0196,318.6136,308.5448,490.0596,96.7272,154.5916,992.3391,1.9902
,,,284.4982,6.676,199.559,323.4745,875.1492,297.0917,655.0148,231.8581,45.1329,199.7544,533.6555,1.3063
,,,737.8228,5.6526,382.5002,73.1193,995.9493,309.4686,793.8076,324.2168,29.4572,135.8843,836.7768,1.8557
,,,1058.85,5.2843,629.4446,274.7834,1053.674,77.5724,841.9998,379.5945,106.2824,182.8619,658.8072,2.6154
,,,1116.423,6.4695,965.86,495.2815,547.7505,493.541,988.1424,171.6884,157.8687,111.7823,1224.793,2.5973
,,,1296.604,7.363,679.5101,474.9134,1119.172,617.4859,920.9732,589.965,76.1503,232.625,971.8481,2.2011
,,,724.0832,7.0328,371.3043,213.8608,497.0445,642.5519,1105.317,555.6237,125.1896,145.5686,230.3034,1.5746
,,,900.2689,7.4872,256.0961,124.4936,449.2707,164.4758,897.6544,460.1725,75.0493,273.5488,345.9585,1.68
,,,1077.083,9.5124,667.6541,411.8806,921.9417,333.4001,635.002,391.0489,30.4874,270.6353,1108.322,2.154
,,,924.6944,10.9833,1010.936,468.8783,985.1436,730.9911,764.2328,367.169,104.9632,235.1921,896.5795,1.8307
,,,826.8735,10.9505,245.1011,266.744,1214.21,635.0118,508.3255,358.9545,92.0357,182.4468,73.4037,1.2343
,,,1057.868,11.0965,762.459,141.6772,1716.412,544.3089,729.5242,375.5399,157.789,220.1426,399.6619,1.4932
,,,1044.828,13.2122,497.892,353.6046,,,522.0784,230.5793,17.7145,207.148,754.2338,2.1944
,,,354.2724,15.1753,596.0612,315.896,,,562.7822,454.2856,161.6047,315.1643,654.0579,2.3221
,,,1323.177,15.15,614.4368,186.4988,,,779.2094,283.6119,17.4754,283.7024,226.3979,2.1274
,,,1913.297,15.2733,722.0564,194.9257,,,143.7793,622.8013,204.9937,182.5048,213.3635,2.1611
